pull_through_rate,pt_recent_3m,pt_prior_3m,pt_trend_delta,pt_trend,median_cycle_days,avg_loan_amount,funded_volume_6m,pipeline_volume_6m,revenue_efficiency,current_active_loans,current_projected_value,avg_pipeline_probability,efficiency_score,composite_score,name,dimension,industry_benchmark_pt,industry_benchmark_cycle,benchmark_note,sub_pull_through,sub_cycle_time,sub_revenue_efficiency,sub_trend,sub_pipeline_probability,rank,tier
0.276,0.3388,0.2813,0.0575,up,34.0,185527.0,42299807.0,51038181.0,0.8288,82,2507933.0,0.3179,51213.0,68.3,2ND,product,0.75,42.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",55.2,44.0,100.0,100.0,53.0,4.0,mid
0.2415,0.309,0.2145,0.0945,up,28.0,478809.0,77006486.0,110065726.0,0.6996,43,2402878.0,0.299,115635.0,70.6,CONFORMING,product,0.75,42.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",48.3,68.0,100.0,100.0,49.8,3.0,mid
0.0299,0.0303,0.0,0.0303,up,30.5,306981.0,355960.0,355960.0,1.0,1,0.0,0.0172,9164.0,45.9,CONVENTIONAL BOND,product,0.75,43.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",6.0,58.0,100.0,80.3,2.9,9.0,bottom
0.0747,0.1979,0.034,0.1639,up,29.0,497557.0,13001147.0,18172607.0,0.7154,5,643846.0,0.5878,37166.0,67.0,CONVENTIONAL BOND STD MI,product,0.75,43.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",14.9,64.0,100.0,100.0,98.0,5.0,mid
0.2498,0.3035,0.2256,0.0779,up,27.5,459277.0,77965527.0,115200492.0,0.6768,59,3004382.0,0.3165,114718.0,71.9,FHA,product,0.75,45.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",50.0,70.0,100.0,100.0,52.8,2.0,top
0.1985,0.2959,0.1439,0.152,up,31.0,407640.0,23278815.0,28880557.0,0.806,22,170277.0,0.2909,80910.0,65.4,FHA BOND,product,0.75,43.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",39.7,56.0,100.0,100.0,48.5,6.0,mid
0.399,0.4389,0.3773,0.0616,up,28.0,572790.0,559264667.0,789748423.0,0.7082,401,23070178.0,0.3044,228540.0,80.1,NONCONFORMING,product,0.75,49.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",79.8,68.0,100.0,100.0,50.7,1.0,top
0.16,0.2045,0.0714,0.1331,up,29.0,511128.0,7791740.0,12989430.0,0.5999,9,552297.0,0.2337,81780.0,63.2,VA,product,0.75,49.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",32.0,64.0,100.0,100.0,39.0,7.0,mid
0.0925,0.2683,0.0844,0.1838,up,29.0,51476.0,2472953.0,3262151.0,0.7581,12,92548.0,0.3912,4759.0,63.1,ZERO INTEREST PROGRAM,product,0.75,43.0,"Industry 'closing rate' is measured from formal application on a 90-day cycle (Ellie Mae/ICE, ~80% of US mortgage apps). FlexPoint's 37% pull-through is from pipeline entry — much earlier. These are NOT directly comparable.",18.5,64.0,100.0,100.0,65.2,8.0,bottom
0.0614,0.052,0.0609,-0.0088,flat,30.0,431923.0,26966743.0,153929098.0,0.1752,59,670551.0,0.0534,26515.0,30.2,Retail,channel,,,,12.3,60.0,35.0,41.2,8.9,,
0.0,0.0,0.0,0.0,flat,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,17.5,Unknown,channel,,,,0.0,50.0,0.0,50.0,0.0,,
0.2521,0.3306,0.2354,0.0952,up,29.0,474758.0,777153489.0,1262037203.0,0.6158,649,31773788.0,0.2971,119703.0,70.4,Wholesale,channel,,,,50.4,64.0,100.0,100.0,49.5,,
